held_out_type,n_held_out,model,accuracy,precision,recall,f1,auc_roc
balance_disorder,20,RandomForest,1.0,1.0,1.0,1.0,1.0
balance_disorder,20,LogisticRegression,1.0,1.0,1.0,1.0,1.0
balance_disorder,20,GradientBoosting,0.9852941176470589,0.9523809523809523,1.0,0.975609756097561,1.0
balance_disorder,20,SVM,1.0,1.0,1.0,1.0,1.0
hidden_state,134,RandomForest,0.989010989010989,1.0,0.9850746268656716,0.9924812030075187,0.9998445273631842
hidden_state,134,LogisticRegression,1.0,1.0,1.0,1.0,1.0
hidden_state,134,GradientBoosting,0.989010989010989,0.9925373134328358,0.9925373134328358,0.9925373134328358,0.9998445273631841
hidden_state,134,SVM,0.9945054945054945,1.0,0.9925373134328358,0.9962546816479401,0.999844527363184
hidden_transfer,12,RandomForest,1.0,1.0,1.0,1.0,1.0
hidden_transfer,12,LogisticRegression,0.9833333333333333,1.0,0.9166666666666666,0.9565217391304348,1.0
hidden_transfer,12,GradientBoosting,0.9833333333333333,0.9230769230769231,1.0,0.96,1.0
hidden_transfer,12,SVM,0.9833333333333333,1.0,0.9166666666666666,0.9565217391304348,1.0
inheritance_disorder,41,RandomForest,0.9101123595505618,1.0,0.8048780487804879,0.8918918918918919,0.9969512195121951
inheritance_disorder,41,LogisticRegression,0.9775280898876404,1.0,0.9512195121951219,0.975,1.0
inheritance_disorder,41,GradientBoosting,0.9438202247191011,0.9736842105263158,0.9024390243902439,0.9367088607594937,0.9964430894308943
inheritance_disorder,41,SVM,0.9887640449438202,1.0,0.975609756097561,0.9876543209876543,1.0
skip_empty_string_literal,9,RandomForest,0.9649122807017544,1.0,0.7777777777777778,0.875,1.0
skip_empty_string_literal,9,LogisticRegression,0.9473684210526315,1.0,0.6666666666666666,0.8,1.0
skip_empty_string_literal,9,GradientBoosting,0.9649122807017544,1.0,0.7777777777777778,0.875,0.9976851851851851
skip_empty_string_literal,9,SVM,0.9473684210526315,1.0,0.6666666666666666,0.8,1.0
straw_man,30,RandomForest,1.0,1.0,1.0,1.0,1.0
straw_man,30,LogisticRegression,1.0,1.0,1.0,1.0,1.0
straw_man,30,GradientBoosting,0.9871794871794872,0.967741935483871,1.0,0.9836065573770492,1.0
straw_man,30,SVM,1.0,1.0,1.0,1.0,1.0
type_deduction_overflow,4,RandomForest,1.0,1.0,1.0,1.0,1.0
type_deduction_overflow,4,LogisticRegression,1.0,1.0,1.0,1.0,1.0
type_deduction_overflow,4,GradientBoosting,0.9423076923076923,0.6666666666666666,0.5,0.5714285714285714,0.9895833333333334
type_deduction_overflow,4,SVM,1.0,1.0,1.0,1.0,1.0
uninitialised_struct,32,RandomForest,0.825,1.0,0.5625,0.72,0.9928385416666666
uninitialised_struct,32,LogisticRegression,0.8875,1.0,0.71875,0.8363636363636363,0.9993489583333334
uninitialised_struct,32,GradientBoosting,0.775,0.9375,0.46875,0.625,0.9856770833333334
uninitialised_struct,32,SVM,0.875,1.0,0.6875,0.8148148148148148,0.9967447916666666
