held_out_type,n_held_out,model,accuracy,precision,recall,f1,auc_roc
balance_disorder,20,RandomForest,1.0,1.0,1.0,1.0,1.0
balance_disorder,20,LogisticRegression,1.0,1.0,1.0,1.0,1.0
balance_disorder,20,GradientBoosting,0.9852941176470589,0.9523809523809523,1.0,0.975609756097561,1.0
balance_disorder,20,SVM,1.0,1.0,1.0,1.0,1.0
hidden_state,134,RandomForest,0.9945054945054945,1.0,0.9925373134328358,0.9962546816479401,0.999922263681592
hidden_state,134,LogisticRegression,1.0,1.0,1.0,1.0,1.0
hidden_state,134,GradientBoosting,0.9835164835164835,0.9851851851851852,0.9925373134328358,0.9888475836431226,0.9996890547263682
hidden_state,134,SVM,0.989010989010989,0.9925373134328358,0.9925373134328358,0.9925373134328358,0.9996890547263682
hidden_transfer,12,RandomForest,1.0,1.0,1.0,1.0,1.0
hidden_transfer,12,LogisticRegression,1.0,1.0,1.0,1.0,0.9999999999999999
hidden_transfer,12,GradientBoosting,0.9833333333333333,0.9230769230769231,1.0,0.96,1.0
hidden_transfer,12,SVM,1.0,1.0,1.0,1.0,1.0
inheritance_disorder,41,RandomForest,0.898876404494382,1.0,0.7804878048780488,0.8767123287671232,0.9916158536585366
inheritance_disorder,41,LogisticRegression,1.0,1.0,1.0,1.0,1.0
inheritance_disorder,41,GradientBoosting,0.898876404494382,0.9705882352941176,0.8048780487804879,0.88,0.9908536585365854
inheritance_disorder,41,SVM,0.9887640449438202,1.0,0.975609756097561,0.9876543209876543,0.9989837398373983
skip_empty_string_literal,9,RandomForest,1.0,1.0,1.0,1.0,1.0
skip_empty_string_literal,9,LogisticRegression,0.9473684210526315,1.0,0.6666666666666666,0.8,0.9999999999999999
skip_empty_string_literal,9,GradientBoosting,0.9824561403508771,0.9,1.0,0.9473684210526315,0.9930555555555556
skip_empty_string_literal,9,SVM,0.9473684210526315,1.0,0.6666666666666666,0.8,1.0
straw_man,30,RandomForest,1.0,1.0,1.0,1.0,1.0
straw_man,30,LogisticRegression,1.0,1.0,1.0,1.0,1.0
straw_man,30,GradientBoosting,0.9871794871794872,0.967741935483871,1.0,0.9836065573770492,1.0
straw_man,30,SVM,1.0,1.0,1.0,1.0,1.0
type_deduction_overflow,4,RandomForest,0.9615384615384616,1.0,0.5,0.6666666666666666,1.0
type_deduction_overflow,4,LogisticRegression,1.0,1.0,1.0,1.0,1.0
type_deduction_overflow,4,GradientBoosting,0.9423076923076923,0.6666666666666666,0.5,0.5714285714285714,0.9583333333333333
type_deduction_overflow,4,SVM,1.0,1.0,1.0,1.0,1.0
uninitialised_struct,32,RandomForest,0.9,1.0,0.75,0.8571428571428571,0.9947916666666666
uninitialised_struct,32,LogisticRegression,1.0,1.0,1.0,1.0,1.0
uninitialised_struct,32,GradientBoosting,0.85,0.9545454545454546,0.65625,0.7777777777777778,0.9824218749999999
uninitialised_struct,32,SVM,1.0,1.0,1.0,1.0,1.0
