model,fold,accuracy,precision,recall,f1,auc_roc
RandomForest,1,0.9904761904761905,0.9827586206896551,1.0,0.991304347826087,1.0
RandomForest,2,0.9809523809523809,0.9824561403508771,0.9824561403508771,0.9824561403508771,0.9992690058479533
RandomForest,3,1.0,1.0,1.0,1.0,1.0
RandomForest,4,1.0,1.0,1.0,1.0,1.0
RandomForest,5,0.9519230769230769,0.9811320754716981,0.9285714285714286,0.9541284403669725,0.9966517857142858
LogisticRegression,1,0.9714285714285714,0.9655172413793104,0.9824561403508771,0.9739130434782609,0.9802631578947368
LogisticRegression,2,0.9619047619047619,0.9344262295081968,1.0,0.9661016949152542,0.9941520467836257
LogisticRegression,3,1.0,1.0,1.0,1.0,1.0
LogisticRegression,4,0.9615384615384616,0.9814814814814815,0.9464285714285714,0.9636363636363636,0.9973958333333334
LogisticRegression,5,0.9711538461538461,0.9491525423728814,1.0,0.9739130434782609,0.9906994047619048
GradientBoosting,1,0.9809523809523809,0.9661016949152542,1.0,0.9827586206896551,0.9978070175438597
GradientBoosting,2,0.9809523809523809,0.9824561403508771,0.9824561403508771,0.9824561403508771,0.9992690058479532
GradientBoosting,3,1.0,1.0,1.0,1.0,1.0
GradientBoosting,4,1.0,1.0,1.0,1.0,1.0
GradientBoosting,5,0.9519230769230769,0.9811320754716981,0.9285714285714286,0.9541284403669725,0.9828869047619048
SVM,1,0.9809523809523809,0.9661016949152542,1.0,0.9827586206896551,0.9963450292397662
SVM,2,0.9523809523809523,0.9333333333333333,0.9824561403508771,0.9572649572649573,0.9959795321637427
SVM,3,0.9904761904761905,0.9824561403508771,1.0,0.9911504424778761,1.0
SVM,4,0.9519230769230769,0.9636363636363636,0.9464285714285714,0.954954954954955,0.9977678571428572
SVM,5,0.9615384615384616,0.9482758620689655,0.9821428571428571,0.9649122807017544,0.996279761904762
