uses_tx_origin,has_fallback,fallback_reverts_non_owner,require_count,has_selfdestruct,has_withdrawal_function,withdrawal_owner_only,uses_inline_assembly,state_changes_before_external_calls,payable_to_withdraw_ratio,contract_id,filename,label
False,False,False,1,False,True,True,False,0,1.0,0x0bf0f154b176c5d90f24e506f10f7f583eb5334d,hp_001.sol,honeypot
False,False,False,1,False,True,True,False,0,1.0,0x0e77cb9d68b8bf3cc41561f8eda6c71e4a4b9ef7,hp_002.sol,honeypot
False,False,False,1,False,True,True,False,0,1.0,0x15d0e6cedd8ecc39daa60c63a3a5830eeca7d720,hp_003.sol,honeypot
False,True,False,1,True,False,False,False,0,4.0,0x1ebf20031b03b80e5f6fdbeb9f86d44145224006,hp_004.sol,honeypot
False,True,False,1,False,True,True,False,0,3.0,0x35c3034556b81132e682db2f879e6f30721b847c,hp_005.sol,honeypot
False,True,False,1,False,True,True,False,0,3.0,0x3bafb3af16203c817ee9208c6b8a748398dae689,hp_006.sol,honeypot
False,True,False,2,False,True,True,False,0,4.0,0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859,hp_007.sol,honeypot
False,True,False,2,False,True,True,False,0,4.0,0x5aa88d2901c68fda244f1d0584400368d2c8e739,hp_008.sol,honeypot
False,True,False,3,True,True,True,False,1,3.0,0x5bb52e85c21ca3df3c71da6d03be19cff89e7cf9,hp_009.sol,honeypot
False,True,False,1,False,True,True,False,0,3.0,0x69bfbf000bd39444af2efba733829b04211252bc,hp_010.sol,honeypot
False,True,False,1,False,True,True,False,0,3.0,0x92e63be3a88df80f64ba4f829dd7ddf97e8b750b,hp_011.sol,honeypot
False,True,False,1,True,False,False,False,0,4.0,0x9cdfd805d73b4837bf3f7b2296996aaecc881e86,hp_012.sol,honeypot
False,True,False,1,False,True,True,False,0,3.0,0x9efc7a38552e63534a8e9b9558adabd73297f91d,hp_013.sol,honeypot
False,True,False,1,True,False,False,False,0,2.0,0x9f54d912a029380f2743aaf4ddd28c3f207cd719,hp_014.sol,honeypot
False,True,False,1,False,True,True,False,0,2.0,0xc7e4a9147601fdbc7d1c2fb8b6c2ffcb2469f293,hp_015.sol,honeypot
False,True,False,1,False,True,True,False,0,2.0,0xc9c8ef2588647e6f5acb6aaee637264d2632609d,hp_016.sol,honeypot
False,True,False,1,False,True,True,False,0,3.0,0xdf77e4a81fba17e0cc39dba521aa4167f388ed7c,hp_017.sol,honeypot
False,True,False,1,False,True,True,False,0,3.0,0xe0527863df8abcb3caca7da329eb9c747822aa98,hp_018.sol,honeypot
False,True,False,1,False,True,True,False,0,3.0,0xe26e90598190a98c92c75204c9a4ecfe5983f8e0,hp_019.sol,honeypot
False,False,False,1,False,True,True,False,0,1.0,0xfd1e3d3e641f224ce8e1117866cf3f01ed2d5d9f,hp_020.sol,honeypot
False,True,False,0,False,False,False,False,0,4.0,0x0595d187cac88f04466371eff3a6b6d1b12fb013,hp_021.sol,honeypot
True,True,False,2,False,False,False,False,0,4.0,0x062e659a3c8991bc1739e72c68edb9ac7b5a8ca7,hp_022.sol,honeypot
False,True,False,0,False,False,False,False,0,5.0,0x064656852581472f9b315fea4730fe18fb7c579a,hp_023.sol,honeypot
True,True,False,3,False,False,False,False,0,5.0,0x0684a256b8a6434cf10ee81bc1bcdcbba3365daa,hp_024.sol,honeypot
False,True,False,1,False,False,False,False,0,4.0,0x0cfa149c0a843e1f8d9bc5c6e6bebf901845cebe,hp_025.sol,honeypot
True,True,False,3,False,False,False,False,0,5.0,0x0e35f4f608d4a8fa560595db79cfda02d790777b,hp_026.sol,honeypot
True,True,False,3,False,False,False,False,0,5.0,0x0e8f2803fa16492b948bc470c69e99460942db2b,hp_027.sol,honeypot
False,True,False,0,False,False,False,False,0,2.0,0x11f4306f9812b80e75c1411c1cf296b04917b2f0,hp_028.sol,honeypot
True,True,False,3,False,False,False,False,0,5.0,0x1237b26652eebf1cb8f59e07e07101c0df4f60f6,hp_029.sol,honeypot
True,True,False,3,False,False,False,False,0,5.0,0x129e719c424a7a6fbdeb7ca3d65186892d54ea8c,hp_030.sol,honeypot
True,True,False,3,False,False,False,False,0,5.0,0x137e531680b5d1f5645cd73a450323f1645d5034,hp_031.sol,honeypot
False,True,False,0,False,False,False,False,0,4.0,0x13c547ff0888a0a876e6f1304eaefe9e6e06fc4b,hp_032.sol,honeypot
True,True,False,3,False,False,False,False,0,5.0,0x159d2829613b0fe363e462b218c695c6eae0a5e1,hp_033.sol,honeypot
False,True,False,0,False,False,False,False,0,5.0,0x16aae4b322501c339ed31a41fb915ae305528585,hp_034.sol,honeypot
True,True,False,2,True,False,False,False,0,4.0,0x197803b104641fbf6e206a425d9dc35dadc4f62f,hp_035.sol,honeypot
False,True,False,0,False,False,False,False,0,5.0,0x19d0321ba91ed5edec4afe1da158a6b06bba03f0,hp_036.sol,honeypot
False,True,False,1,False,False,False,False,0,4.0,0x1dabd43e0f8a684a02712bcd767056e25026061c,hp_037.sol,honeypot
True,True,False,3,False,False,False,False,0,5.0,0x1fbf025ad94dde79f88732f79966a9a435f2772f,hp_038.sol,honeypot
False,True,False,0,False,False,False,False,0,4.0,0x24cad91c063686c49f2ef26a24bf80329fb131c7,hp_039.sol,honeypot
False,True,False,0,False,False,False,False,0,3.0,0x2634baad203cba4aa4114c132b2e50a3a6027ff9,hp_040.sol,honeypot
False,True,False,0,False,False,False,False,0,3.0,0x265c91539255a96e1005a0fd11ca776c183d04f5,hp_041.sol,honeypot
False,True,False,0,False,False,False,False,0,3.0,0x26ae986bfab33f4cbadec30ea55b5eed9e883ecf,hp_042.sol,honeypot
True,True,False,3,False,False,False,False,0,5.0,0x2b98b39d39914b3aad05dd06a46868507156400d,hp_043.sol,honeypot
False,True,False,0,False,False,False,False,0,3.0,0x2cc8e271f11934f5fa15942dfda2b59432c2e0f3,hp_044.sol,honeypot
True,True,False,3,False,False,False,False,0,5.0,0x2e0794073ec7b08e40d80a41599bb31df042e4e5,hp_045.sol,honeypot
False,True,False,0,False,False,False,False,0,3.0,0x2e4eb4585cb949e53212e796cef13d562c24374b,hp_046.sol,honeypot
False,True,False,0,False,False,False,False,0,3.0,0x2fe321bbb468d71cc392dd95082efef181df2038,hp_047.sol,honeypot
False,True,False,1,False,False,False,False,0,4.0,0x34bc4f174c027a68f94a7ea6a3b4930e0211b19d,hp_048.sol,honeypot
False,True,False,0,False,False,False,False,0,4.0,0x3597f78c7872db259ce023acc34511c7a79f42e3,hp_049.sol,honeypot
True,True,False,3,False,False,False,False,0,5.0,0x3668eba58190c7bb2d63cb484467ff0a42fb3367,hp_050.sol,honeypot
True,True,False,3,False,False,False,False,0,5.0,0x36d5d7262784130de564e99f5c2eab2aa0484bce,hp_051.sol,honeypot
False,True,False,0,False,False,False,False,0,3.0,0x377f64e05c29309c8527022dbe5fbbfa8e40f6dd,hp_052.sol,honeypot
True,True,False,3,False,False,False,False,0,5.0,0x3b048ab84ddd61c2ffe89ede66d68ef27661c0f2,hp_053.sol,honeypot
False,True,False,0,False,False,False,False,0,2.0,0x3c3f481950fa627bb9f39a04bccdc88f4130795b,hp_054.sol,honeypot
True,True,False,3,False,False,False,False,0,5.0,0x3caf97b4d97276d75185aaf1dcf3a2a8755afe27,hp_055.sol,honeypot
True,True,False,3,False,False,False,False,0,5.0,0x40ef62929748b3e045fd2036322880ef486e4454,hp_056.sol,honeypot
False,True,False,0,False,False,False,False,0,4.0,0x448fcea60482c0ea5d02fa44648c3749c46c4a29,hp_057.sol,honeypot
False,True,False,0,False,False,False,False,0,3.0,0x4876bca6feab4243e4370bddc92f5a8364de9df9,hp_058.sol,honeypot
True,True,False,3,False,False,False,False,0,5.0,0x4a73d9fe078fa67601047f88c3e6c270602e5709,hp_059.sol,honeypot
True,True,False,3,False,False,False,False,0,5.0,0x4aec37ae465e1d78649aff117bab737c5fb4f214,hp_060.sol,honeypot
True,True,False,3,False,False,False,False,0,5.0,0x4bc53ead2ae82e0c723ee8e3d7bacfb1fafea1ce,hp_061.sol,honeypot
True,True,False,3,False,False,False,False,0,5.0,0x4c4757b23526ba13876f8ef3efe973618266e3e8,hp_062.sol,honeypot
True,True,False,3,False,False,False,False,0,5.0,0x4ca675d62a05c451555c93e456f902bd3e423586,hp_063.sol,honeypot
False,True,False,0,False,False,False,False,0,3.0,0x4d200a0a7066af311baba7a647b1cce54ae2f9a5,hp_064.sol,honeypot
True,True,False,3,False,False,False,False,0,5.0,0x52682a037a8deab04e708055c751556a0840897a,hp_065.sol,honeypot
False,True,False,0,False,False,False,False,0,3.0,0x53018f93f9240cf7e01301cdc4b3e45d25481f73,hp_066.sol,honeypot
True,True,False,2,False,False,False,False,1,4.0,0x57684f9059afbf7bb11b07263500292ac9d78e7b,hp_067.sol,honeypot
False,True,False,0,False,False,False,False,0,5.0,0x590d1d5ba0feb249d42c527ae21d12f2e5768a87,hp_068.sol,honeypot
True,True,False,3,False,False,False,False,0,5.0,0x59434a7b9aeebe94045d3715aa020f6a1d7875ad,hp_069.sol,honeypot
True,True,False,3,False,False,False,False,0,5.0,0x5ccfcdc1c88134993f48a898ae8e9e35853b2068,hp_070.sol,honeypot
True,True,False,2,False,False,False,False,1,4.0,0x611ae0be21a9c0ab284a4a68c8c44843330072a7,hp_071.sol,honeypot
False,True,False,0,False,False,False,False,0,4.0,0x64669148bca4f3d1216127a46380a67b37bbf63e,hp_072.sol,honeypot
False,True,False,1,False,False,False,False,0,4.0,0x6594ac0a2ba54885ff7d314eb27c9694cb25698b,hp_073.sol,honeypot
False,True,False,0,False,False,False,False,0,3.0,0x686847351a61eb1cae8ac0efa4208ff689fd53f2,hp_074.sol,honeypot
False,True,False,0,False,True,False,False,0,2.0,0x68af0f18c974a9603ec863fefcebb4ceb2589070,hp_075.sol,honeypot
True,True,False,0,False,False,False,False,0,4.0,0x6ce3fef99a6a4a8d1cc55d980966459854b3b021,hp_076.sol,honeypot
False,True,False,0,False,False,False,False,0,3.0,0x6f905e47d3e6a9cc286b8250181ee5a0441acc81,hp_077.sol,honeypot
True,True,False,3,False,False,False,False,0,5.0,0x704079e823e42a936bbaac5163434c2515473836,hp_078.sol,honeypot
True,True,False,3,False,False,False,False,0,5.0,0x70bf9df6967dc96156e76cc43b928a7ef02e159a,hp_079.sol,honeypot
True,True,False,3,False,False,False,False,0,5.0,0x735906d7ab237eeea06f4af86795bb4e0ec199e0,hp_080.sol,honeypot
False,True,False,0,False,False,False,False,0,3.0,0x75041597d8f6e869092d78b9814b7bcdeeb393b4,hp_081.sol,honeypot
False,True,False,0,False,False,False,False,0,3.0,0x75658ed3dba1e12644d2cd9272ba9ee888f4c417,hp_082.sol,honeypot
False,True,False,0,False,False,False,False,0,4.0,0x7b3c3a05fcbf18db060ef29250769cee961d75ac,hp_083.sol,honeypot
False,True,False,0,False,False,False,False,0,4.0,0x7fefc8bf6e44784ed016d08557e209169095f0f3,hp_084.sol,honeypot
False,True,False,0,False,False,False,False,0,3.0,0x7ffc2bd9431b059c509b45b33e77852d47de827d,hp_085.sol,honeypot
True,True,False,3,False,False,False,False,0,5.0,0x85044611b5954739dbde0ccb9aae6bb18e38e38b,hp_086.sol,honeypot
True,True,False,3,False,False,False,False,0,5.0,0x878e6c6f9a86a1e5d313e7b872ccd109135e91b4,hp_087.sol,honeypot
False,True,False,0,False,False,False,False,0,5.0,0x8a36f3e0da7b36fd22fcf2844c21e812279372ac,hp_088.sol,honeypot
False,True,False,0,False,False,False,False,0,3.0,0x8bbf2d91e3c601df2c71c4ee98e87351922f8aa7,hp_089.sol,honeypot
False,True,False,0,False,False,False,False,0,3.0,0x8bce9d720745b93c58c505fc0d842a7d9cd59697,hp_090.sol,honeypot
True,True,False,3,False,False,False,False,0,5.0,0x8cc5d9de2c8df87f2d40d84aa78049ea6e61f973,hp_091.sol,honeypot
False,True,False,0,False,False,False,False,0,3.0,0x8d056569b215c8b56e4b3a615dac425d8d2352a4,hp_092.sol,honeypot
False,True,False,0,False,False,False,False,0,3.0,0x8d4eb49f0ed7ee6d6e00fc76ea3e9c3898bf219d,hp_093.sol,honeypot
False,True,False,0,False,False,False,False,0,3.0,0x930dfbdc5e9f1984a8d87de29d6a79fbb2bb7b32,hp_094.sol,honeypot
False,True,False,0,False,False,False,False,0,5.0,0x96fa4b2bebbbc9ffdb7d64ed18058de27680752c,hp_095.sol,honeypot
True,True,False,0,False,False,False,False,0,4.0,0x99bab102c0a03438bcfd70119f07ee646db26ddf,hp_096.sol,honeypot
False,True,False,0,False,False,False,False,0,4.0,0x9bdb9d9bd3e348d93453400e46e71dd519c60503,hp_097.sol,honeypot
True,True,False,3,False,False,False,False,0,5.0,0xa0f9e5283fbf6d735e1e3a0f724ea6cccc13c27a,hp_098.sol,honeypot
True,True,False,3,False,False,False,False,0,5.0,0xa379eda47d90fb4bc2dfa54556421ff0f198ca47,hp_099.sol,honeypot
True,True,False,3,False,False,False,False,0,5.0,0xa48a36d94024f861b453267468b9096e4a3eb8be,hp_100.sol,honeypot
