feature,f1_mean,f1_std,accuracy_mean,accuracy_std
has_fallback,0.8870249969498308,0.029827974634284434,0.868058608058608,0.03736638098030247
payable_to_withdraw_ratio,0.8802008454584451,0.02392608228495907,0.8623992673992673,0.028500640212217546
require_count,0.8664959750844542,0.017441293632637276,0.8356410256410257,0.025396888501377373
uses_inline_assembly,0.7447067802131324,0.014761309066973665,0.631043956043956,0.028531130593204886
state_changes_before_external_calls,0.7305936572374971,0.011527685394300215,0.6079853479853481,0.01695652230006669
fallback_reverts_non_owner,0.7006119162640901,0.002982154468191976,0.5391941391941392,0.0035286724040416856
has_withdrawal_function,0.7006119162640901,0.002982154468191976,0.5391941391941392,0.0035286724040416856
uses_tx_origin,0.4027675512892904,0.06858303270362533,0.5736263736263736,0.03281655727406572
has_selfdestruct,0.3496555618294748,0.06204135468535375,0.5564835164835165,0.027504218595480467
withdrawal_owner_only,0.32028122229247746,0.1130129686472014,0.5622527472527472,0.04224724921398726
